host,window,reverse,fft,magnitude,device
2459,881,1520,246,49,310
2522,845,1405,198,31,292
2710,1379,1386,262,32,316
2416,1100,1365,215,22,619
2705,1056,1423,239,41,334
2479,1600,1340,213,23,305
2833,835,1362,201,24,287
3108,825,1423,237,31,297
2780,867,1433,226,29,273
2647,1026,1384,225,52,324
2811,975,1467,224,37,350
