host,window,reverse,fft,magnitude,device
4622,1569,934945,149927,282,6524
4775,1613,936013,149688,296,6769
4799,1798,935012,150179,304,6639
4883,1638,938645,147606,191,3029
4772,1641,935871,150996,298,6723
4663,1457,936429,148371,263,6165
4927,1594,939881,149300,253,5178
4686,1679,935074,150538,271,6844
4792,1501,935080,150046,295,5879
4816,1605,937735,149320,303,6880
