2376,1018,520,224,53,319
2386,995,534,212,51,338
2343,1063,517,247,63,335
2743,1042,523,235,30,298
2453,1098,537,210,55,358
2431,1015,508,240,38,294
2287,845,497,202,42,322
2436,1015,493,211,60,322
2382,893,427,212,43,308
2350,943,430,209,44,312
2450,852,502,223,58,330
2442,931,550,233,66,380
2496,836,514,249,57,375
2372,851,489,218,28,292
2351,985,455,215,61,308
2533,845,428,196,41,297
2489,854,450,218,59,312
2487,1095,519,220,59,330
2468,1050,523,226,58,293
2499,1126,472,226,40,298
2477,1177,535,226,63,360
2320,928,508,251,50,300
2260,975,455,225,65,350
2332,864,483,220,32,374
2351,826,521,212,54,293
2359,953,489,232,69,443
2341,1062,438,196,52,323
2466,842,466,191,48,285
2416,840,405,184,49,295
2443,956,430,227,42,316
