2409,999,430,199,57,317
2435,1033,401,206,53,311
2439,1054,521,247,43,303
2514,1034,435,218,42,297
2509,1005,527,246,44,326
2384,1073,496,244,40,287
2311,1082,487,241,44,318
2466,849,458,201,36,274
2400,841,464,194,27,289
2322,836,482,200,30,283
2415,1059,458,220,44,301
2405,1240,514,234,48,329
2439,935,468,242,65,372
2539,963,442,255,47,372
2455,1095,447,197,47,298
2695,1023,438,236,43,311
2636,985,504,213,66,377
2405,897,422,237,44,344
2520,829,424,185,28,276
2431,1019,465,224,63,424
2459,850,525,204,48,275
2572,863,488,219,35,318
2334,824,515,214,51,320
2505,995,423,212,45,321
2402,900,443,222,43,306
2289,847,427,196,47,291
2465,1061,518,248,46,315
2567,1031,515,247,45,310
2416,1055,434,251,44,337
2302,842,441,215,41,311
