2378,880,1584,281,61,415
2521,847,1505,239,29,270
2752,857,1471,263,48,325
2474,990,1559,292,45,350
2678,862,1553,254,36,330
2508,948,1575,268,59,381
2528,890,1477,260,43,308
2832,1053,1558,269,61,328
2437,841,1550,250,34,270
2408,1004,1576,267,65,408
2418,1030,1556,255,52,356
2620,846,1574,255,45,323
2435,910,1556,253,83,496
2431,833,1601,250,54,309
2311,830,1549,264,35,301
2646,1002,1572,258,47,315
2514,1011,1506,262,44,318
2363,1043,1585,260,50,327
2348,886,1484,240,31,292
2350,1140,1595,288,30,357
2599,868,1575,276,59,345
2280,1146,1589,288,54,332
2474,956,1573,263,50,334
2740,1076,1539,243,29,383
2384,1042,1499,268,49,350
2389,1013,1581,267,52,351
2540,841,1571,255,52,305
2346,1031,1557,294,43,343
2381,1180,1561,278,50,388
2454,1124,1586,297,53,372
