host,window,reverse,fft,magnitude,device
2322,902,89,134,40,272
2236,761,74,116,40,229
2254,776,93,123,45,281
2585,1068,96,143,54,360
2555,905,94,117,41,271
2211,831,93,149,63,335
2022,770,74,110,25,236
2080,850,81,109,44,354
2443,760,80,112,31,237
2423,989,94,142,54,436
