host,window,reverse,fft,magnitude,device
2290,738,2554,219,48,297
2016,841,2529,221,43,300
2257,774,2507,220,47,333
2306,829,2535,224,44,296
2513,882,2530,222,44,352
2048,892,2553,224,46,334
2225,791,2554,222,43,275
2030,806,2574,219,44,341
2238,933,2503,219,39,354
2031,789,2553,226,44,315
