host,window,reverse,fft,magnitude,device
2696,1034,150,307,53,389
2703,837,114,269,26,341
2665,934,135,280,27,362
3028,1049,138,286,37,392
2763,891,134,278,34,365
2752,898,130,275,35,451
2947,907,156,302,37,389
2715,1015,155,308,62,447
2935,903,138,270,26,354
2761,1032,159,303,57,388
