host,window,reverse,fft,magnitude,device
2145,936,108,222,54,330
2295,757,122,197,51,248
2199,774,104,181,66,294
2206,790,93,180,40,313
2070,828,103,201,44,295
2370,907,112,189,56,395
2346,843,132,219,31,249
2628,811,101,181,54,328
2495,720,103,174,46,354
2298,736,102,168,20,290
