host,window,reverse,fft,magnitude,device
2090,729,104,145,42,361
2324,815,94,138,37,276
2212,922,115,181,83,494
4820,856,94,158,44,288
2296,772,108,188,76,413
3088,803,102,239,30,284
2378,738,111,189,77,262
2434,763,101,143,43,356
2052,742,102,144,23,267
2005,778,100,152,66,522
