host,window,reverse,fft,magnitude,device
4246,1249,6312,5555,195,2364
4253,1162,6324,5589,198,2445
4123,1177,6313,5471,184,2526
6580,1252,7397,5948,188,2454
3957,1409,6357,5601,190,2419
3878,1277,6440,5656,212,2637
3935,1265,6463,5512,191,2329
3952,1249,6389,5650,197,2581
