host,window,reverse,fft,magnitude,device
2574,1087,138,212,54,361
2618,848,129,181,31,300
2667,839,123,191,50,288
2698,930,123,187,25,312
2571,1041,143,211,56,375
2693,857,121,183,26,285
2749,1115,148,218,60,423
2660,975,130,183,35,326
2665,918,143,218,45,336
2593,853,118,184,24,310
