host,window,reverse,fft,magnitude,device
2902,804,162,596,37,511
2593,795,159,495,47,544
2351,859,186,513,35,618
2329,802,171,494,59,526
2317,940,183,521,76,705
2541,798,209,512,86,608
2206,818,158,492,36,480
2309,923,159,497,28,549
5796,767,186,495,62,894
2470,763,173,493,55,517
