host,window,reverse,fft,magnitude,device
2931,1043,885,1363,70,1023
3279,1057,813,1380,93,1113
3000,1018,761,1354,89,1087
3022,981,738,1372,78,959
2900,982,802,1353,79,961
2841,1212,775,1349,87,1025
3078,1030,683,1338,89,1015
3023,944,809,1354,78,992
3076,959,815,1371,80,981
3112,988,884,1384,65,1091
