copy_host_to_device,window,bit_reverse,fft,magnititude,copy_device_to_host,total
1081,0,0,273,0,591,0.001945
472,0,0,265,0,403,0.00114
383,0,0,269,0,536,0.001188
474,0,0,262,0,534,0.00127
486,0,0,262,0,525,0.001273
500,0,0,264,0,518,0.001282
498,0,0,260,0,522,0.00128
474,0,0,265,0,534,0.001273
473,0,0,262,0,530,0.001265
472,0,0,264,0,540,0.001276
498,0,0,262,0,522,0.001282
529,0,0,262,0,528,0.001319
473,0,0,262,0,530,0.001265
468,0,0,261,0,525,0.001254
471,0,0,262,0,536,0.001269
471,0,0,261,0,528,0.00126
468,0,0,263,0,536,0.001267
485,0,0,260,0,528,0.001273
466,0,0,260,0,505,0.001231
508,0,0,261,0,520,0.001289
469,0,0,261,0,527,0.001257
473,0,0,264,0,523,0.00126
473,0,0,262,0,524,0.001259
476,0,0,266,0,536,0.001278
488,0,0,264,0,515,0.001267
468,0,0,265,0,526,0.001259
469,0,0,261,0,534,0.001264
362,0,0,265,0,545,0.001172
520,0,0,304,0,512,0.001336
485,0,0,268,0,530,0.001283
