copy_host_to_device,window,bit_reverse,fft,magnititude,copy_device_to_host,total
1998,0,0,912,0,1495,0.004405
1359,0,0,900,0,1454,0.003713
1457,0,0,906,0,1459,0.003822
1379,0,0,901,0,1460,0.00374
1466,0,0,901,0,1446,0.003813
1462,0,0,903,0,1450,0.003815
1463,0,0,902,0,1454,0.003819
1478,0,0,904,0,1445,0.003827
1477,0,0,900,0,1480,0.003857
1468,0,0,905,0,1452,0.003825
1454,0,0,904,0,1448,0.003806
1450,0,0,905,0,1445,0.0038
1470,0,0,902,0,1453,0.003825
1459,0,0,902,0,1457,0.003818
1458,0,0,903,0,1444,0.003805
1458,0,0,907,0,1442,0.003807
1449,0,0,904,0,1442,0.003795
1450,0,0,906,0,1442,0.003798
1455,0,0,904,0,1451,0.00381
1449,0,0,903,0,1458,0.00381
1448,0,0,902,0,1460,0.00381
1460,0,0,903,0,1455,0.003818
1460,0,0,903,0,1508,0.003871
1497,0,0,904,0,1448,0.003849
1454,0,0,902,0,1349,0.003705
1530,0,0,903,0,1450,0.003883
1385,0,0,937,0,1450,0.003772
1477,0,0,903,0,1449,0.003829
1462,0,0,901,0,1474,0.003837
1476,0,0,900,0,1468,0.003844
