window,fft,magnitude
271,499,31
345,655,39
266,495,30
280,511,32
287,523,33
345,614,40
259,478,65
263,486,30
295,583,34
262,510,30
260,487,30
260,480,30
281,535,43
259,497,30
267,488,31
259,476,30
323,480,30
259,483,30
273,498,32
260,489,30
261,486,30
296,611,44
334,592,39
261,491,30
263,487,30
307,554,35
278,505,31
288,659,39
299,548,35
264,533,30
