window,fft,magnitude
26,447,3
28,474,3
22,392,3
20,365,2
25,416,3
26,463,3
25,425,3
30,492,4
19,346,2
19,337,2
19,346,2
22,382,3
24,423,3
21,382,3
18,335,2
19,368,3
18,343,2
19,351,3
19,379,3
18,337,2
20,355,3
18,343,2
19,351,3
18,357,2
19,361,3
19,348,3
19,487,3
26,383,3
19,360,2
19,361,3
