window,fft,magnitude
88,426,10
82,407,10
86,417,10
97,464,11
81,428,9
101,535,12
103,483,12
68,345,8
68,437,8
85,401,10
68,339,8
75,373,9
70,346,8
66,343,8
66,382,8
70,373,9
67,345,8
67,352,8
67,344,8
68,349,8
67,343,8
66,349,8
66,341,8
67,344,8
66,355,8
72,365,8
76,376,9
82,401,9
66,338,8
76,372,9
