window,fft,magnitude
24,407,3
19,364,2
21,367,2
23,426,3
22,383,3
22,391,3
21,376,3
21,377,2
23,391,3
21,382,2
23,394,3
23,398,3
22,392,3
24,500,3
21,375,2
25,428,3
23,473,3
21,371,2
22,390,2
23,475,3
22,394,3
23,394,3
23,405,3
23,415,3
21,419,2
23,410,3
33,355,2
20,399,2
21,372,2
21,366,2
