copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
370,41,162,466,28,662,0.001701
181,42,152,445,30,172,0.000992
233,41,501,448,30,172,0.001395
275,40,145,446,29,176,0.001082
201,37,147,467,33,203,0.001055
302,35,148,463,28,177,0.001125
309,39,150,461,28,196,0.001155
311,38,148,455,27,170,0.001122
316,36,151,462,28,218,0.001183
359,38,149,464,29,209,0.001219
291,38,150,469,28,211,0.001159
209,37,147,450,27,174,0.001017
327,40,151,465,28,206,0.001189
206,37,147,460,29,229,0.001079
320,60,156,457,27,179,0.001172
209,37,152,463,28,192,0.001053
301,37,149,460,28,212,0.001159
204,37,148,454,27,182,0.001025
300,38,147,451,27,172,0.001108
204,37,147,456,27,172,0.001016
346,40,174,465,27,182,0.001207
209,38,146,463,28,213,0.001069
324,35,149,457,30,168,0.001133
309,37,148,462,28,191,0.001147
305,39,146,484,28,214,0.001188
311,37,148,452,27,174,0.001122
330,36,146,462,28,205,0.001179
300,38,146,459,28,203,0.001146
312,38,149,460,28,215,0.001174
311,38,151,459,28,206,0.001165
