copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
2475,1757,16226,4624,156,1241,0.026323
1826,1748,16920,4615,157,1263,0.026372
1533,1745,16450,4703,158,1547,0.025978
1498,1743,16684,4900,165,1254,0.026079
1540,1744,16330,4630,151,1568,0.025812
1681,1739,16175,4605,151,1231,0.025431
1818,1746,16029,4606,156,1245,0.025444
1567,1761,17276,4703,158,1645,0.026952
1287,1749,16816,4665,157,1375,0.025892
1886,1744,16125,4610,159,1252,0.025617
1771,1747,16396,4620,157,1240,0.025774
1685,1751,16806,4617,159,1240,0.026099
1885,1745,16137,4620,157,1245,0.025632
1636,1765,17269,4888,152,1236,0.026794
1443,1747,16139,4583,152,1244,0.025156
1601,1743,16178,4620,157,1239,0.025381
1703,1745,15848,4640,157,1245,0.025181
1767,1765,15544,4597,156,1243,0.024916
1862,1748,16757,4612,157,1245,0.026224
2040,1742,16549,4604,157,1243,0.026178
1941,1740,16478,4627,156,1243,0.026029
1831,1743,16106,4602,156,1243,0.025525
1941,1745,16701,4658,157,1248,0.026293
1567,1762,16874,4781,161,1432,0.026416
1916,1742,16882,4589,156,1245,0.026374
1812,1741,15810,4611,156,1251,0.025225
1903,1738,16116,4608,156,1244,0.025609
1630,1740,16062,4593,156,1244,0.025269
1698,1740,15760,4596,156,1244,0.025038
1925,1742,16010,4604,156,1240,0.025521
