copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
306,50,185,484,37,668,0.001693
347,50,250,456,35,198,0.001301
357,41,174,462,35,226,0.00126
384,42,239,476,37,193,0.001334
333,39,170,465,35,182,0.001189
272,43,168,456,36,239,0.001178
350,39,171,461,34,199,0.00122
352,45,170,471,35,224,0.001262
250,43,171,473,36,264,0.001201
361,44,175,471,36,267,0.001318
364,40,172,472,36,271,0.001319
252,45,169,470,36,200,0.001136
329,40,172,464,35,186,0.001191
334,37,168,473,37,212,0.001224
336,38,167,460,35,182,0.001183
334,38,166,475,38,218,0.001231
339,44,171,475,38,223,0.001252
357,41,170,464,35,194,0.001226
332,39,170,469,35,184,0.001194
337,47,182,466,35,178,0.00121
331,43,171,476,37,196,0.001217
332,40,169,472,37,215,0.001228
329,40,168,476,39,252,0.001265
329,38,168,470,36,249,0.001254
337,38,167,470,35,187,0.001199
338,44,169,475,35,193,0.001219
336,38,166,471,36,216,0.001227
341,44,175,474,35,182,0.001216
384,47,173,478,37,273,0.001355
333,40,165,457,35,211,0.001206
