copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
1350,903,21040,1209,570,480,0.024982
624,907,22010,1203,570,479,0.025223
653,911,21228,1262,564,472,0.024526
614,902,21927,1195,564,477,0.025115
619,902,22164,1251,571,477,0.025413
624,947,21264,1205,587,482,0.024522
509,902,21106,1205,568,478,0.0242
565,1155,21922,1459,574,340,0.025441
621,901,22692,1206,586,484,0.025904
624,904,22520,1258,581,487,0.025793
509,905,23811,1252,568,484,0.026961
622,902,21500,1205,569,478,0.024707
601,901,21285,1247,567,476,0.02451
619,899,21371,1197,580,478,0.024564
461,902,21192,1202,568,479,0.024236
612,898,21572,1230,569,479,0.024791
627,897,21541,1207,571,478,0.02475
623,900,21424,1204,567,479,0.02463
614,899,21513,1200,570,486,0.024712
618,901,21033,1211,570,475,0.024238
603,894,21725,1208,569,487,0.024917
614,897,20987,1218,564,476,0.024192
604,894,21071,1212,567,478,0.024259
623,894,21558,1207,567,480,0.024762
614,898,21074,1201,569,475,0.024262
618,897,21049,1215,567,474,0.024253
511,905,21678,1201,574,482,0.024777
646,899,21030,1221,580,479,0.024275
501,898,21020,1250,570,478,0.024147
621,901,21455,1242,571,459,0.024678
