copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
1257,181,3126,1185,98,344,0.006093
492,148,3123,1180,97,337,0.00528
631,148,3101,1175,97,337,0.005392
621,146,3080,1177,98,336,0.00536
626,142,3066,1213,99,339,0.005386
664,148,3100,1176,98,338,0.005426
660,149,3125,1188,100,346,0.005468
602,146,3110,1184,100,342,0.005384
659,147,3090,1188,100,341,0.005425
653,148,3135,1190,99,343,0.005469
653,153,3212,1184,98,341,0.005543
651,146,3107,1187,99,346,0.005437
614,148,3117,1182,99,347,0.005408
617,146,3096,1182,102,337,0.005378
620,149,3098,1180,100,340,0.005387
514,151,3113,1182,97,339,0.005299
601,148,3110,1187,98,338,0.005384
631,149,3139,1183,99,337,0.005439
615,146,3077,1193,97,336,0.005367
606,147,3110,1188,97,337,0.005388
614,147,3092,1180,98,338,0.005371
598,149,3092,1175,97,338,0.005352
616,147,3088,1175,100,344,0.00537
610,148,3100,1191,98,337,0.005386
610,148,3125,1181,106,340,0.005404
605,146,3114,1180,97,336,0.005381
626,147,3158,1206,99,341,0.005478
602,145,3086,1189,100,339,0.005361
620,146,3109,1182,98,336,0.005393
612,148,3088,1190,100,339,0.005377
