copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
2276,3456,16299,4636,157,1399,0.028066
1766,3437,16336,4625,157,1245,0.027409
1706,3429,16365,4612,158,1245,0.027357
1808,3430,16587,4884,156,1244,0.027953
1613,3432,16262,4614,157,1483,0.027404
1432,3426,16389,4607,158,1650,0.027504
1797,3428,16491,4619,157,1239,0.027574
1557,3427,16637,4621,158,1649,0.027891
1764,3436,17121,4691,154,1553,0.028565
1608,3439,16456,4613,157,1421,0.027537
1794,3449,16238,4595,157,1243,0.027319
1688,3427,16925,4620,156,1546,0.028206
1795,3470,16959,4659,157,1536,0.028419
1681,3428,16447,4601,156,1502,0.027659
1736,3436,16305,4606,159,1247,0.02733
1657,3424,16445,4624,163,1474,0.027624
1813,3434,17165,4617,157,1554,0.028583
1629,3428,16357,4614,157,1479,0.027507
1870,3427,16375,4616,156,1242,0.02753
1582,3432,16576,4620,156,1385,0.027595
1792,3431,16545,4606,156,1248,0.027622
1438,3428,16276,4621,157,1438,0.027201
1656,3431,16499,4621,157,1448,0.027655
1641,3427,16321,4613,157,1500,0.027502
1529,3435,16832,4621,156,1566,0.027983
1586,3428,16358,4629,156,1439,0.02744
1687,3434,16622,4612,158,1246,0.027601
1820,3429,16110,4597,156,1242,0.027198
1597,3435,16525,4612,158,1399,0.027568
1365,3427,16850,4620,159,1574,0.027836
