copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
2478,493,22545,4335,292,1475,0.031326
1563,478,22854,4321,292,1600,0.030816
1845,492,22559,4317,292,1529,0.030742
1712,482,22751,4326,292,1572,0.030843
1714,496,22765,4330,293,1412,0.030717
1454,476,22569,4327,294,1385,0.030211
1379,476,22582,4537,293,1232,0.030206
1596,475,22578,4325,295,1414,0.030388
1565,480,22576,4324,298,1244,0.030189
1375,482,22632,4334,301,1370,0.030193
1820,480,22575,4327,300,1543,0.030745
1811,479,22638,4329,301,1520,0.030777
1378,482,22602,4425,303,1375,0.030262
1737,494,22595,4337,299,1246,0.030409
1667,479,22734,4332,305,1400,0.030612
1620,479,22784,4325,298,1629,0.030837
1625,481,22496,4446,297,1247,0.030295
1609,478,22662,4340,299,1656,0.030745
1706,479,22573,4330,299,1472,0.03056
1593,479,22578,4328,297,1389,0.030367
1881,482,22538,4325,298,1249,0.030475
1508,481,22631,4332,299,1249,0.030201
1942,480,22567,4322,301,1252,0.030563
1552,480,22525,4332,297,1452,0.030341
1810,481,22654,4343,298,1482,0.03077
2363,495,22581,4331,298,1273,0.031043
1743,494,22636,4330,297,1465,0.030668
1479,481,22539,4338,298,1674,0.030511
1707,493,22643,4336,298,1368,0.030547
1936,495,22538,4328,303,1620,0.030917
