copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host,total
1207,482,10535,1187,295,479,0.01389
629,483,10573,1193,295,338,0.013216
626,481,10569,1185,295,338,0.013199
625,479,10552,1190,296,338,0.013184
623,483,11195,1218,301,349,0.013868
514,487,11228,1204,296,482,0.013915
617,485,10529,1185,294,341,0.013157
624,479,10570,1182,294,338,0.013193
613,476,10810,1219,294,339,0.013457
626,499,11101,1296,294,341,0.013863
626,485,10947,1180,296,341,0.013579
644,482,11080,1244,295,477,0.013927
619,477,10613,1202,295,458,0.013369
636,480,10608,1185,294,339,0.013248
512,485,10740,1191,295,480,0.013408
510,643,11564,1186,295,480,0.014383
614,478,10939,1185,294,340,0.013556
621,478,10641,1194,296,339,0.013273
639,481,10595,1198,294,341,0.013254
468,481,10604,1233,316,346,0.013132
609,472,11143,1180,293,334,0.013738
623,476,10628,1181,291,351,0.013259
624,481,11067,1181,290,348,0.013701
613,473,10567,1173,291,334,0.01316
615,474,10597,1177,288,330,0.013193
615,475,10724,1182,290,326,0.013322
457,473,12089,1351,299,386,0.014756
617,472,10560,1203,291,327,0.013179
614,473,10603,1179,289,328,0.013197
458,473,10616,1182,290,328,0.013057
