copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
387,69,245,479,37,640,0.00182
331,68,239,496,39,192,0.001326
345,57,236,488,32,213,0.001339
346,59,239,478,36,181,0.001303
345,60,239,491,38,209,0.001344
329,64,240,478,37,187,0.001298
343,57,237,477,36,176,0.00129
291,61,231,476,36,182,0.001241
343,63,240,492,37,214,0.001352
340,63,238,486,37,215,0.001342
327,66,236,490,37,210,0.001329
406,63,237,480,36,181,0.001367
340,62,237,491,41,181,0.001311
343,58,240,487,37,215,0.001343
341,56,237,493,37,209,0.001336
344,62,239,491,36,181,0.001317
340,60,232,487,37,210,0.001329
357,58,230,491,37,213,0.001349
342,58,236,494,39,216,0.001346
347,57,239,489,39,218,0.00135
234,57,236,479,35,181,0.001187
349,64,235,474,36,183,0.001305
236,62,237,482,36,179,0.001196
345,62,236,494,39,212,0.001349
344,65,239,489,37,211,0.001348
344,62,233,489,37,214,0.001342
343,62,231,487,37,214,0.001337
344,58,238,475,36,184,0.001299
351,58,238,482,36,175,0.001304
346,58,237,492,37,190,0.001323
