copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
192,45,112,271,31,675,0.001295
191,44,110,283,32,144,0.000772
183,39,108,283,31,145,0.000758
181,38,107,281,33,143,0.00075
188,39,105,282,31,141,0.000755
184,39,106,279,31,138,0.000746
179,38,106,281,31,142,0.000746
90,39,106,282,31,147,0.000664
185,38,107,281,30,145,0.000756
182,38,105,280,32,147,0.000752
189,39,106,277,31,135,0.000746
181,38,106,282,30,146,0.000753
185,38,108,281,32,132,0.000744
192,39,107,285,32,146,0.000769
176,39,104,282,32,148,0.000749
181,40,107,282,32,161,0.000771
197,38,106,281,31,164,0.000786
180,38,107,280,33,162,0.000767
200,38,106,282,32,153,0.000779
196,40,107,281,31,151,0.000775
199,38,107,282,30,171,0.000797
186,38,104,278,31,146,0.000752
79,39,101,267,30,163,0.000649
189,40,105,281,31,155,0.00077
187,41,107,282,33,157,0.000774
199,39,105,281,32,146,0.00077
188,40,106,280,33,156,0.00077
207,40,105,280,32,171,0.000803
190,39,106,280,31,151,0.000766
199,40,106,282,31,147,0.000774
