copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
367,43,179,461,31,645,0.001695
297,41,166,464,33,202,0.00117
306,38,163,461,31,200,0.001168
294,38,160,459,32,201,0.001152
297,34,160,463,33,196,0.00115
310,34,159,459,33,204,0.001166
293,34,160,458,28,205,0.00115
319,41,183,451,28,175,0.001169
329,36,163,468,32,208,0.001204
335,35,163,460,29,199,0.001192
240,45,172,464,32,207,0.001128
321,35,162,454,30,168,0.00114
318,35,160,460,31,205,0.001178
325,36,162,460,28,199,0.001182
212,35,161,460,31,208,0.001076
319,34,160,460,34,200,0.001173
307,36,163,465,32,201,0.001172
313,37,162,460,32,165,0.001137
216,37,165,458,31,170,0.001046
331,37,165,448,30,167,0.001148
306,35,161,458,33,204,0.001164
308,35,161,452,30,164,0.00112
325,35,167,459,31,196,0.001182
382,35,162,457,32,166,0.001202
309,35,162,450,31,166,0.001122
346,44,164,459,31,202,0.001215
289,42,162,447,32,177,0.001117
323,37,164,455,31,171,0.00115
323,35,161,457,29,210,0.001186
321,34,162,456,29,166,0.001139
