copy_host_to_device,window,bit_reverse,fft,magnititude,copy_device_to_host,total
1282,74,658,1184,61,339,0.003537
623,71,629,1190,59,335,0.002848
644,70,630,1180,58,334,0.002858
624,74,644,1189,59,340,0.002871
495,69,625,1178,60,335,0.002702
605,71,634,1183,60,338,0.002831
621,68,635,1182,60,334,0.00284
653,66,640,1183,60,337,0.002879
615,68,626,1175,60,334,0.002818
610,68,622,1176,59,334,0.00281
601,68,640,1230,60,339,0.002878
495,68,646,1177,59,337,0.002723
619,70,629,1182,59,341,0.002841
628,72,627,1179,59,335,0.002841
601,67,622,1179,58,334,0.002803
658,70,638,1178,59,337,0.002881
603,69,621,1180,59,338,0.002811
627,67,623,1176,59,335,0.002828
612,67,637,1181,59,335,0.002832
599,66,628,1221,59,336,0.00285
615,67,629,1177,63,335,0.002823
594,68,629,1183,61,342,0.002816
641,69,628,1188,59,335,0.002861
601,69,628,1190,60,337,0.002825
629,69,629,1200,59,336,0.002863
640,71,643,1179,60,336,0.002869
617,70,649,1186,60,346,0.002868
600,68,629,1179,60,337,0.002813
491,68,626,1176,59,335,0.002696
614,70,621,1179,60,333,0.002817
