copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
192,35,112,256,26,614,0.001209
79,38,99,262,27,149,0.000627
169,26,95,271,27,149,0.00071
166,25,92,263,23,148,0.000694
73,25,91,262,27,148,0.000599
168,26,91,267,23,153,0.000705
163,25,90,261,23,149,0.000688
187,28,94,261,22,147,0.000717
186,27,94,262,23,148,0.000717
186,28,94,262,22,148,0.000718
184,27,93,262,28,144,0.00071
196,27,94,264,22,149,0.00073
187,28,97,262,23,149,0.000723
183,28,98,261,26,133,0.000703
183,27,93,261,22,133,0.000697
185,27,94,262,23,149,0.000717
189,27,93,261,23,149,0.000719
183,27,97,261,26,135,0.000703
190,28,98,261,22,148,0.000725
186,27,94,260,22,149,0.000716
176,28,97,261,22,149,0.000711
183,27,97,261,22,137,0.000705
184,27,95,261,22,149,0.000716
185,27,95,263,22,147,0.000717
183,28,97,261,26,138,0.000707
186,32,96,260,22,148,0.000722
186,28,95,262,22,149,0.00072
189,27,93,263,23,149,0.000721
182,27,92,266,22,149,0.000716
76,27,91,261,25,132,0.000587
