copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host,total
1277,73,1244,1171,55,331,0.004096
634,67,1277,1173,55,332,0.003483
605,68,1241,1170,55,332,0.003416
633,68,1250,1168,56,330,0.003449
523,71,1307,1337,57,331,0.003569
629,69,1240,1189,55,343,0.00347
616,72,1257,1170,55,329,0.003444
627,69,1244,1175,56,338,0.003453
538,72,1247,1231,61,340,0.003428
641,73,1273,1179,61,339,0.003505
384,73,1278,1178,61,342,0.003255
666,70,1268,1180,61,339,0.003523
471,75,1260,1181,62,335,0.003322
641,73,1266,1249,67,345,0.003574
634,76,1273,1235,60,338,0.003556
625,71,1249,1182,61,341,0.003468
621,71,1283,1179,60,338,0.003492
641,71,1271,1184,60,345,0.003512
616,67,1288,1183,64,341,0.003495
642,70,1243,1178,59,337,0.00347
508,70,1276,1188,62,340,0.003382
631,73,1273,1182,60,339,0.003498
603,70,1251,1175,62,338,0.003437
612,70,1250,1182,60,335,0.003449
634,73,1286,1181,61,342,0.003516
618,72,1238,1182,64,336,0.003446
633,75,1287,1180,61,339,0.003514
640,71,1246,1180,59,342,0.003479
634,71,1274,1189,60,339,0.003507
618,76,1309,1181,61,339,0.003523
