copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
396,47,243,493,39,653,0.001832
338,47,239,491,40,214,0.001329
352,44,234,474,36,180,0.001284
332,42,236,487,37,220,0.001317
338,42,241,484,36,178,0.001283
355,43,238,494,38,198,0.001328
349,41,236,474,35,180,0.00128
351,39,243,491,36,214,0.001338
350,38,240,501,35,181,0.00131
360,37,244,503,37,188,0.001332
334,38,242,515,38,219,0.001348
339,40,244,503,37,188,0.001314
331,37,239,493,36,212,0.001312
336,37,237,500,37,178,0.001288
336,39,242,507,36,210,0.001334
334,38,241,507,37,217,0.001337
249,39,234,486,45,259,0.001267
393,40,242,505,36,182,0.001362
352,39,240,492,36,208,0.001331
353,43,241,497,36,179,0.001313
349,39,243,506,38,215,0.001352
357,44,246,484,37,263,0.001394
337,40,232,471,36,218,0.001298
376,41,244,500,37,235,0.001396
350,43,241,500,37,198,0.001332
345,39,239,506,38,218,0.001347
343,40,244,512,38,219,0.001358
342,40,241,513,38,218,0.001354
240,38,239,525,36,216,0.001258
331,44,240,490,36,176,0.001281
