copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host,total
2382,3430,175675,4363,2152,1446,0.187296
1657,3427,175655,4360,2146,1496,0.186595
1564,3440,175688,4352,2160,1718,0.186762
1818,3424,175727,4357,2147,1815,0.187141
1845,3426,175693,4351,2148,1613,0.186928
1754,3423,175648,4368,2148,1556,0.186749
2221,3425,175722,4353,2155,1542,0.187263
1540,3437,175676,4355,2160,1692,0.1867
1679,3426,175687,4362,2150,1492,0.186646
2116,3428,175685,4357,2149,1418,0.187004
1623,3427,175680,4351,2148,1469,0.18655
1669,3428,175700,4353,2149,1492,0.186642
1813,3432,175712,4347,2176,1588,0.186892
2206,3427,175734,4359,2154,1414,0.18714
2152,3423,175780,4350,2167,1736,0.187441
2213,3420,175752,4355,2166,1446,0.187186
2049,3443,175746,4362,2167,1680,0.18728
1690,3426,175728,4357,2147,1542,0.186743
2256,3424,175696,4345,2148,1506,0.187227
1905,3443,175791,4352,2164,1656,0.187147
1658,3421,175699,4355,2146,1489,0.186622
2006,3423,175691,4359,2147,1446,0.186925
1668,3423,175654,4358,2152,1510,0.186613
1544,3422,175679,4360,2151,1478,0.186483
1802,3438,175660,4358,2152,1573,0.186831
2252,3427,175648,4352,2160,1442,0.187121
2042,3429,175695,4375,2146,1455,0.186996
1958,3427,175670,4348,2149,1521,0.186924
1868,3427,175700,4356,2157,1683,0.187034
1797,3428,175686,4351,2157,1678,0.18694
