copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
2505,493,15715,4631,158,1247,0.024591
1750,494,16578,4621,159,1275,0.024718
1721,486,16500,4607,158,1246,0.02456
1775,490,16587,4576,153,1266,0.024694
1510,477,16129,4732,153,1240,0.024088
1663,491,16717,4602,152,1268,0.024741
1985,491,16513,4598,152,1253,0.02484
1833,492,16272,4616,152,1271,0.024484
1564,480,16586,4587,151,1240,0.024457
1444,474,16688,4605,154,1234,0.024445
1566,489,16324,4601,152,1274,0.024254
1813,490,16380,4598,152,1240,0.024521
1691,490,16636,4577,153,1254,0.024648
1945,489,16385,4610,152,1269,0.024698
1756,490,16367,4588,151,1269,0.02447
1808,492,16675,4577,152,1266,0.024818
1661,475,16196,4589,152,1241,0.024162
1510,482,17153,4593,151,1238,0.024976
2310,489,16734,4593,151,1269,0.025395
1972,487,16617,4592,151,1268,0.024936
1594,490,16567,4601,152,1239,0.024491
1660,477,16846,4661,153,1240,0.024884
1902,491,16551,4585,152,1239,0.024768
1746,476,16416,4588,151,1240,0.024466
1643,493,16287,4670,158,1252,0.024345
1792,481,16479,4602,157,1270,0.024624
1847,499,16928,4867,159,1261,0.025402
1389,478,16665,4602,158,1243,0.024377
1891,494,16729,4616,159,1275,0.025005
1275,475,17034,4607,151,1255,0.024646
