copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
306,50,185,466,35,755,0.001762
391,50,178,468,40,228,0.001315
245,45,177,469,35,224,0.00116
339,46,177,464,35,232,0.001258
256,45,170,478,35,230,0.001179
362,47,173,478,39,264,0.001324
358,43,170,468,35,278,0.001317
355,47,173,468,49,279,0.001322
347,43,168,487,35,276,0.001321
358,43,166,470,36,247,0.001284
386,42,167,473,36,180,0.001248
414,46,179,461,35,188,0.001288
240,42,232,460,34,181,0.001155
354,81,165,470,49,212,0.001282
367,42,167,480,37,196,0.001252
385,41,169,467,34,181,0.001243
343,47,177,465,35,192,0.001224
248,43,167,481,37,206,0.001145
348,41,166,463,35,185,0.001203
242,43,170,471,40,223,0.001149
352,42,169,464,34,180,0.001207
349,42,168,469,35,233,0.001261
351,42,169,480,36,182,0.001224
332,42,170,465,35,179,0.001188
349,50,165,458,35,191,0.001213
351,42,166,472,37,215,0.001246
352,45,171,465,35,182,0.001215
349,42,165,468,36,212,0.001236
353,44,167,481,36,203,0.001248
348,41,166,469,36,198,0.001222
