copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
141,35,97,146,27,437,0.000856
38,31,82,144,58,48,0.000343
36,27,78,144,25,35,0.00032
34,26,77,144,26,31,0.000312
34,25,76,143,25,30,0.000308
34,26,77,145,26,31,0.000313
32,26,77,144,26,30,0.000309
31,26,77,145,26,31,0.00031
31,26,76,144,25,30,0.000307
35,25,73,144,22,30,0.000307
32,27,77,145,26,31,0.000312
35,27,76,144,26,31,0.000313
34,26,76,144,25,31,0.000311
35,25,76,143,26,32,0.000311
31,26,77,180,39,30,0.000344
35,26,78,146,26,30,0.000315
30,26,76,144,26,30,0.000306
34,26,76,144,26,31,0.000311
34,26,77,144,25,31,0.000312
31,26,76,144,26,31,0.000308
33,26,76,144,26,27,0.000306
30,26,76,143,25,30,0.000305
34,25,75,144,25,30,0.000308
35,26,77,145,27,31,0.000314
35,25,77,143,26,27,0.000307
34,25,76,143,26,30,0.000308
33,25,76,143,25,31,0.000308
35,25,77,144,66,36,0.000317
36,26,78,144,25,31,0.000315
34,26,76,144,25,31,0.000311
