copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
1189,899,2380,1252,63,338,0.006058
610,896,2420,1254,61,338,0.005518
598,896,2381,1252,61,337,0.005464
607,895,2402,1252,61,338,0.005494
601,896,2436,1266,61,337,0.005536
475,901,2445,1245,62,339,0.005405
620,895,2452,1263,61,341,0.005571
604,895,2410,1257,61,339,0.005505
626,900,2465,1256,59,338,0.005585
601,893,2420,1257,61,338,0.005509
497,898,2410,1243,62,337,0.005385
634,897,2437,1261,61,333,0.005562
610,896,2466,1252,62,333,0.005557
600,894,2492,1260,60,331,0.005577
615,893,2533,1261,61,333,0.005635
826,895,2465,1258,61,339,0.005783
600,896,2417,1259,60,333,0.005505
610,899,2471,1297,63,334,0.005611
643,900,2406,1258,63,341,0.005548
620,899,2396,1262,61,332,0.005509
613,890,2372,1270,58,332,0.005477
618,894,2412,1271,62,335,0.00553
600,898,2405,1262,61,332,0.005497
595,894,2471,1260,61,337,0.005557
625,895,2483,1253,60,332,0.005588
610,892,2398,1277,64,335,0.005512
602,890,2356,1268,62,332,0.005448
614,897,2464,1258,61,338,0.005571
618,889,2416,1256,61,331,0.00551
610,901,2448,1256,60,338,0.005553
