copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
193,36,109,253,30,609,0.0012
191,36,100,263,26,148,0.000738
210,29,96,266,26,135,0.000736
186,26,91,262,23,148,0.000713
185,27,92,267,26,148,0.000719
189,27,94,265,22,148,0.000723
185,26,91,260,23,146,0.000708
170,26,93,261,25,138,0.000688
171,26,91,262,23,146,0.000696
126,27,93,262,22,147,0.000655
185,26,90,260,25,131,0.000692
183,26,90,260,22,146,0.000705
185,26,93,262,22,147,0.000713
187,26,94,264,22,147,0.000718
186,27,91,265,23,149,0.000718
186,27,92,261,22,147,0.000713
188,27,91,261,27,148,0.000715
189,26,94,261,26,139,0.000709
187,25,90,261,22,152,0.000715
74,25,91,262,28,148,0.0006
189,26,94,265,25,130,0.000704
178,25,91,251,27,141,0.000686
187,26,90,260,23,147,0.00071
185,25,90,260,25,132,0.000692
183,25,91,261,23,146,0.000706
183,25,90,263,23,145,0.000706
187,32,92,261,23,149,0.000721
187,27,94,266,26,147,0.000721
181,26,93,266,24,131,0.000697
192,26,94,270,27,146,0.000728
