copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
524,264,895,460,167,1041,0.003184
300,260,906,483,192,274,0.002223
361,249,862,461,161,238,0.002171
345,248,853,461,161,241,0.002148
351,246,835,479,161,189,0.0021
340,246,839,454,170,192,0.002071
345,247,837,473,161,193,0.002095
351,250,883,469,160,248,0.002201
346,246,848,460,161,223,0.002123
244,247,841,459,165,220,0.002011
354,247,848,471,160,192,0.002112
251,249,833,454,161,179,0.001966
319,250,843,455,162,213,0.00208
352,292,849,454,161,188,0.002135
354,264,838,452,160,181,0.002089
357,250,836,454,160,178,0.002075
248,246,832,461,162,183,0.00197
356,251,848,458,162,214,0.002127
354,255,841,453,161,196,0.002099
348,246,834,472,161,210,0.00211
350,248,831,455,161,219,0.002103
352,247,844,454,166,180,0.002077
347,248,839,483,162,215,0.002132
334,246,833,470,162,234,0.002117
341,247,836,466,166,218,0.002108
361,247,829,454,163,182,0.002073
239,247,834,468,161,180,0.001968
362,250,842,481,161,219,0.002154
352,279,866,456,161,229,0.002182
350,248,836,463,160,180,0.002077
