copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
1159,73,2345,1253,57,334,0.005164
626,70,2452,1254,57,330,0.004732
501,67,2348,1247,59,335,0.004498
625,70,2378,1272,57,332,0.004677
630,79,2439,1230,56,331,0.004709
476,68,2445,1297,58,329,0.004615
632,73,2531,1253,60,339,0.004828
517,71,2377,1264,57,333,0.004562
613,70,2534,1249,55,332,0.004798
670,71,2485,1242,57,330,0.004798
632,70,2431,1247,57,330,0.00471
631,71,2391,1239,56,332,0.004664
617,70,2413,1244,55,331,0.004675
628,69,2405,1235,56,330,0.004667
631,70,2418,1237,55,330,0.004686
679,69,2413,1251,56,330,0.004742
635,67,2414,1245,58,332,0.004693
643,70,2402,1248,57,329,0.004692
616,68,2391,1233,56,331,0.004639
607,70,2426,1247,57,332,0.004682
607,67,2426,1247,57,334,0.004681
622,70,2500,1241,57,332,0.004765
625,73,2433,1246,58,333,0.00471
613,71,2656,1248,56,332,0.00492
639,69,2577,1246,56,335,0.004866
640,69,2587,1354,57,331,0.004981
612,68,2470,1248,57,333,0.004731
629,69,2508,1249,57,331,0.004786
629,70,2473,1236,56,330,0.004738
629,69,2453,1242,56,331,0.004724
