copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
2487,157,4328,4483,154,1243,0.012698
1723,152,4310,4492,155,1241,0.011918
1292,155,4279,4321,155,1242,0.011289
1553,152,4278,4390,157,1252,0.011625
1731,154,4318,4585,156,1242,0.01203
1801,154,4302,4474,166,1241,0.011972
1617,157,4341,4456,221,1254,0.011825
1602,160,4334,4520,158,1274,0.01189
1800,154,4366,4479,155,1244,0.012043
1951,153,4329,4477,155,1247,0.012157
1668,152,4316,4466,155,1239,0.011841
1685,154,4316,4465,156,1238,0.011858
1759,155,4317,4449,155,1240,0.01192
1672,152,4311,4464,156,1247,0.011846
1563,153,4308,4469,155,1248,0.011741
1969,217,4343,4492,156,1249,0.01227
1655,153,4311,4475,155,1242,0.011836
1789,153,4316,4457,156,1243,0.011958
1810,154,4411,4456,155,1244,0.012075
1579,153,4314,4449,156,1241,0.011736
1647,147,5230,4455,149,1247,0.012726
1722,153,4341,4456,155,1245,0.011917
1788,153,4335,4477,155,1248,0.012001
1826,154,4317,4525,159,1249,0.012071
1688,153,4364,4461,156,1243,0.011909
1702,154,4312,4462,155,1244,0.011874
1717,153,4335,4465,159,1250,0.01192
1746,152,4318,4496,158,1250,0.011962
1574,153,4316,4466,156,1248,0.011757
1587,153,4259,4324,157,1240,0.011563
