copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
211,41,113,281,31,628,0.001274
194,38,112,281,31,177,0.000802
199,34,107,280,30,146,0.000766
204,34,107,280,32,154,0.000779
92,35,108,325,32,151,0.000711
201,35,152,284,32,148,0.00082
195,50,106,281,31,145,0.000777
201,35,106,281,31,147,0.00077
209,30,106,279,29,149,0.000773
210,34,104,279,32,143,0.00077
203,34,106,282,32,147,0.000772
203,35,107,281,32,172,0.000798
91,34,106,280,30,170,0.000681
226,36,105,281,45,141,0.000789
198,36,103,287,30,141,0.000765
210,34,108,281,31,148,0.000781
204,34,107,286,32,147,0.000778
199,34,106,280,32,148,0.000767
204,34,106,280,33,137,0.000761
207,33,103,280,30,152,0.000775
203,34,102,281,28,166,0.000786
204,32,102,282,27,167,0.000787
99,30,103,284,31,206,0.000722
202,31,101,281,28,151,0.000766
200,36,106,281,32,135,0.000758
198,35,105,278,30,135,0.000751
204,36,133,280,31,138,0.000791
204,36,107,290,32,146,0.000783
211,40,104,280,27,162,0.000797
203,32,103,279,28,167,0.000784
