copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
1161,75,1192,1183,57,332,0.003943
618,63,1180,1183,62,331,0.003375
616,63,1185,1179,60,331,0.003374
494,64,1177,1180,62,330,0.003245
601,63,1171,1183,62,329,0.003347
605,71,1180,1183,62,333,0.003372
598,66,1187,1179,61,332,0.003362
715,68,1178,1180,62,332,0.003473
607,63,1187,1181,62,330,0.003368
614,71,1174,1183,61,332,0.003374
612,64,1192,1180,61,331,0.003379
527,63,1178,1179,61,330,0.003277
597,66,1193,1181,60,335,0.003372
602,63,1181,1181,61,331,0.003358
623,64,1193,1179,60,332,0.003391
604,65,1193,1185,60,330,0.003377
623,65,1180,1182,61,334,0.003384
609,64,1197,1179,61,330,0.003379
609,66,1168,1188,60,333,0.003364
601,71,1183,1177,61,332,0.003364
612,67,1187,1180,61,333,0.003379
598,67,1195,1181,61,329,0.00337
598,68,1190,1181,60,332,0.003369
645,67,1166,1180,61,337,0.003395
618,72,1187,1185,61,332,0.003394
598,66,1174,1191,62,334,0.003363
617,70,1183,1185,60,333,0.003388
601,66,1180,1182,61,331,0.00336
503,71,1183,1182,61,332,0.003271
628,70,1182,1180,60,335,0.003395
