copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
1199,74,2386,1251,62,339,0.005249
615,72,2397,1255,64,339,0.004678
630,71,2383,1237,61,345,0.004666
610,74,2430,1255,61,338,0.004707
625,73,2429,1265,60,336,0.004728
415,75,2764,1311,61,339,0.004904
516,71,2386,1257,61,336,0.004566
607,70,2418,1261,61,336,0.004692
609,71,2466,1248,59,337,0.004731
498,71,2490,1269,60,337,0.004665
599,71,2466,1250,60,334,0.00472
601,68,2516,1249,61,340,0.004774
603,74,2444,1250,60,337,0.004708
633,78,2481,1253,64,336,0.004781
613,71,2467,1262,61,338,0.004751
599,68,2436,1247,61,336,0.004686
381,73,2742,1570,63,336,0.005102
457,75,2945,1505,62,335,0.005317
619,75,2570,1250,61,335,0.004849
625,74,2483,1258,60,336,0.004776
495,70,2398,1246,61,337,0.004546
602,72,2582,1252,61,337,0.004845
617,74,2452,1258,62,337,0.004738
520,73,2503,1314,135,339,0.004749
516,75,2418,1256,61,336,0.004601
628,74,2425,1256,62,337,0.00472
631,74,2436,1266,61,337,0.004744
633,77,2437,1262,64,347,0.004756
621,75,2406,1249,62,336,0.004687
618,72,2463,1251,61,336,0.00474
