copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host,total
2448,1744,88202,4346,1101,1578,0.098318
1592,1737,88133,4339,1090,1508,0.097309
1556,1753,88288,4345,1106,1454,0.097396
1679,1740,88290,4357,1093,1545,0.097611
1412,1757,88712,4319,1091,1242,0.097442
1642,1751,88261,4348,1103,1490,0.097492
1703,1738,88173,4338,1091,1599,0.097551
1552,1744,88217,4339,1096,1467,0.097319
1831,1746,88164,4341,1104,1644,0.097726
1589,1743,88170,4337,1092,1490,0.097329
1274,1737,88824,4361,1094,1612,0.097808
2127,1740,88426,4344,1091,1383,0.09802
1526,1741,88194,4339,1107,1495,0.097295
1274,1740,88416,4353,1092,1565,0.097348
1709,1739,88235,4355,1090,1563,0.097601
1771,1756,88173,4341,1107,1604,0.097645
1692,1752,88247,4351,1105,1550,0.097592
1737,1742,88180,4343,1097,1605,0.097607
1662,1740,88185,4341,1090,1425,0.097353
1621,1753,88218,4341,1108,1460,0.097393
1820,1741,88234,4334,1094,1633,0.097762
1366,1742,88663,4690,1097,1258,0.097719
1829,1742,88221,4359,1097,1637,0.097788
1751,1744,88207,4347,1096,1623,0.097672
1833,1753,88444,4385,1104,1564,0.097979
1728,1743,88165,4379,1093,1596,0.097611
1658,1751,88109,4354,1095,1591,0.097463
1651,1741,88181,4357,1094,1532,0.097462
1373,1754,88557,4340,1100,1470,0.097494
1375,1740,88141,4357,1092,1425,0.097038
