Samples: 1048576
Wavefront: 2
Iterations: 30
Using platform: AMD Accelerated Parallel Processing
Using device: gfx1010:xnack-
Cache size: 16384, Constant size: 7287183768, Global size: 8573157376
Create context: 1
Compile sources: 50978525
Create buffers: 162727
1365,484,2388,1272,64,342,0.005851
622,475,2440,1263,62,339,0.005139
598,472,2406,1257,60,342,0.005075
613,481,2597,1251,62,337,0.005279
638,481,2406,1248,60,340,0.005113
515,477,2418,1257,61,338,0.005005
618,482,2465,1312,63,344,0.005221
615,482,2390,1253,62,339,0.005079
608,476,2405,1245,61,337,0.005071
625,480,2429,1260,61,337,0.005131
609,479,2379,1276,62,338,0.005081
615,476,2477,1246,60,339,0.005153
607,474,2496,1253,60,339,0.005169
608,481,2472,1254,60,337,0.005152
604,478,2476,1246,61,340,0.005144
614,474,2367,1253,62,338,0.005046
610,477,2368,1258,61,338,0.005051
616,478,2476,1259,61,338,0.005167
610,475,2403,1247,61,342,0.005077
605,474,2401,1257,61,339,0.005076
510,479,2415,1248,62,338,0.00499
614,484,2422,1250,62,338,0.005108
464,481,2446,1254,61,338,0.004983
494,474,2408,1254,61,337,0.004967
631,1577,2595,1262,61,346,0.006411
599,476,2397,1248,62,338,0.005058
614,479,2445,1264,62,337,0.005139
610,479,2418,1250,61,338,0.005095
606,478,2542,1262,62,339,0.005227
614,474,2473,1247,61,337,0.005145
21492,8928,2754,0.03042
