copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
1259,75,854,1171,56,333,0.003692
624,69,859,1168,55,327,0.003047
510,68,854,1170,56,334,0.002936
626,69,862,1167,55,328,0.003052
624,69,858,1165,55,330,0.003046
610,70,865,1169,55,330,0.003044
612,68,860,1167,55,330,0.003037
615,72,881,1171,56,331,0.00307
619,69,864,1166,55,330,0.003048
609,67,858,1165,56,329,0.003028
609,66,859,1167,56,330,0.003031
609,68,852,1191,55,335,0.003055
639,68,851,1165,54,331,0.003054
605,68,857,1166,55,332,0.003028
607,67,853,1169,56,333,0.003029
668,86,911,1183,73,365,0.003213
627,71,865,1166,56,332,0.003061
616,70,870,1168,56,335,0.003059
512,70,858,1163,54,333,0.002936
612,68,859,1166,55,330,0.003035
607,67,863,1175,57,334,0.003046
614,73,858,1173,55,329,0.003047
610,70,941,1198,56,336,0.003155
626,69,859,1175,55,331,0.00306
603,64,866,1170,55,331,0.003034
618,68,857,1167,55,331,0.003041
511,73,859,1172,60,337,0.002952
471,73,859,1203,92,347,0.002953
629,74,871,1174,62,341,0.003089
632,75,863,1177,62,339,0.003086
