host,window,reverse,fft,magnitude,device
2399,918,162,163,30,275
2360,925,197,167,33,279
2345,965,180,167,41,314
2389,876,150,159,23,256
2585,871,232,160,30,286
2374,968,192,166,44,285
2512,990,219,176,57,318
2481,971,233,165,34,307
2392,854,216,173,56,289
2368,833,245,192,52,280
