host,window,reverse,fft,magnitude,device
1968,807,694,211,45,336
2405,817,714,186,46,315
2386,734,692,180,62,315
2401,761,692,183,26,288
2416,752,702,166,43,380
1993,772,695,178,43,504
2077,776,701,182,35,281
2280,757,675,179,59,407
1958,769,677,168,32,367
2274,832,710,181,40,280
