2367,925,1587,279,62,429
2420,1001,1588,260,45,340
2356,1001,1588,271,61,383
2385,1121,1539,251,49,366
2330,872,1505,244,36,317
2429,854,1471,274,28,348
2469,1022,1579,291,42,327
2770,842,1539,248,38,350
2365,870,1496,247,33,302
2341,871,1570,254,53,367
2365,898,1498,249,45,514
2332,1029,1543,278,40,326
2783,849,1520,256,37,316
2619,1008,1577,289,42,333
2499,919,1503,255,61,373
2367,1055,1591,287,45,387
2380,923,1549,258,35,333
2481,1023,1578,267,60,371
2382,1066,1547,295,72,363
2354,815,1553,255,37,350
2368,874,1580,260,47,337
2501,952,1582,263,42,331
2394,877,1511,246,61,390
2395,860,1535,253,39,297
2569,1022,1544,274,42,344
2626,920,1598,294,58,305
2456,933,1517,292,59,360
2453,1013,1530,242,53,347
2578,974,1620,275,59,383
2541,1038,1579,291,46,348
