2548,1012,167,182,49,317
2338,1025,152,192,60,331
2422,841,139,169,49,384
2371,856,131,144,45,282
2354,890,140,170,43,310
2375,1050,149,202,52,290
2778,951,128,172,43,313
2310,1039,134,168,42,352
2453,865,123,156,34,313
2363,846,138,164,49,307
2405,910,156,190,55,296
2397,847,134,154,29,300
2387,1052,133,150,51,275
2627,1023,128,171,39,297
2445,1028,150,194,54,302
2354,925,154,192,64,383
2369,950,135,164,30,349
2329,939,130,177,32,345
2330,935,147,178,46,321
2588,871,135,145,29,280
2347,962,113,186,64,316
2317,1062,154,205,64,312
2536,973,137,166,49,308
2258,847,137,184,48,301
2333,949,135,149,52,388
2366,819,138,168,56,307
2272,824,131,165,46,297
2473,1080,155,191,56,335
2358,872,130,170,31,302
2364,899,141,156,36,310
