host,window,reverse,fft,magnitude,device
3892,1375,430141,85169,199,3195
3654,1221,359734,30763,218,4234
3859,1285,359605,30015,187,5022
3605,1109,360093,28581,132,2027
3566,1322,359569,27904,161,2950
3669,1095,360385,27137,110,1972
4037,1109,361526,27946,233,4545
4052,1068,361151,27006,221,3641
3875,2647,363647,29472,232,3662
3468,1191,360605,27829,136,1728
3811,1275,361135,27293,241,4063
