host,window,reverse,fft,magnitude,device
2641,847,121,175,58,317
2400,926,143,140,29,268
2876,1001,141,152,44,321
2478,1042,150,188,69,365
2501,843,122,125,49,267
2718,888,122,136,25,286
2526,841,121,145,28,250
2476,1181,142,162,55,345
2560,1196,133,146,38,315
2771,1033,112,155,48,373
2698,901,139,166,57,298
