host,window,reverse,fft,magnitude,device
2212,757,191,144,35,254
2220,781,196,148,45,291
2083,986,203,160,50,314
2400,799,196,141,29,288
2056,755,198,146,61,275
1928,798,194,135,44,314
2038,897,212,149,34,291
2453,914,200,151,33,284
2175,768,177,135,22,235
2348,768,194,133,36,267
