2407,830,58,72,36,292
2344,851,59,71,36,281
2296,1040,81,105,52,354
2462,1038,64,117,69,335
2417,1010,55,76,29,306
2420,842,44,76,29,255
2470,859,57,83,42,347
2431,1054,69,119,64,310
2328,843,33,70,27,319
2453,982,76,90,34,361
2327,825,39,76,29,296
2284,923,67,101,40,282
2352,867,92,115,51,273
2684,944,63,95,28,314
2621,1061,61,107,56,330
2443,836,42,73,28,275
2431,929,41,77,32,295
2355,987,50,91,42,331
2384,1035,74,116,63,322
2445,1101,79,98,47,356
2385,859,50,72,36,270
2396,1091,70,108,55,327
2352,1062,70,112,59,316
2275,1040,55,73,28,272
2503,1018,77,124,64,363
2422,907,99,108,41,314
2378,1023,72,145,56,312
2390,1021,59,75,39,428
2363,1182,74,100,48,350
2488,1018,69,129,59,287
