copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
398,255,243,490,37,645,0.002031
340,251,239,470,36,181,0.001481
348,247,242,495,38,185,0.001517
347,250,237,468,37,176,0.001478
332,248,234,471,35,181,0.001466
333,247,237,498,39,193,0.001508
336,248,232,468,36,178,0.001462
331,246,237,494,37,209,0.001517
336,247,235,476,36,179,0.001473
348,245,234,473,36,178,0.001478
339,246,241,471,35,179,0.001476
332,246,234,484,36,179,0.001475
333,246,237,489,36,212,0.001517
360,249,233,472,36,182,0.001496
353,247,240,480,36,179,0.001499
345,246,237,477,36,176,0.001481
348,245,237,478,36,180,0.001488
348,247,236,472,36,180,0.001483
345,246,235,492,43,195,0.001513
334,246,237,484,36,176,0.001477
331,246,231,485,36,177,0.00147
329,246,235,490,37,178,0.001478
342,250,235,470,36,178,0.001475
334,248,235,486,37,215,0.001518
338,246,233,491,37,179,0.001487
341,248,237,475,36,182,0.001483
356,249,234,476,36,181,0.001496
332,246,234,473,36,179,0.001464
341,245,234,487,37,195,0.001502
332,246,234,474,36,177,0.001463
