copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
154,35,76,147,25,544,0.000956
33,33,75,146,22,25,0.000312
29,22,66,140,19,24,0.000281
29,22,66,139,20,24,0.00028
29,21,66,139,20,24,0.000279
29,22,65,139,20,24,0.000279
29,21,65,139,19,24,0.000278
29,22,64,140,19,24,0.000279
29,21,65,140,20,24,0.000279
28,22,65,152,20,24,0.000291
31,22,66,141,20,24,0.000284
29,22,65,139,20,24,0.000279
30,22,65,139,19,24,0.00028
29,21,65,139,20,24,0.000278
30,21,66,139,19,24,0.00028
28,21,66,140,20,24,0.000279
28,22,65,139,19,24,0.000278
29,22,65,140,19,24,0.00028
29,21,65,140,20,24,0.000279
30,22,65,164,20,27,0.000308
30,22,65,139,19,24,0.00028
28,22,66,140,19,24,0.00028
29,22,65,139,19,24,0.000279
29,23,66,140,19,24,0.000282
29,22,65,141,19,24,0.000281
28,22,65,140,19,24,0.000279
29,21,65,139,20,24,0.000278
29,22,67,140,20,24,0.000282
30,22,65,139,19,24,0.00028
30,22,66,139,20,25,0.000282
