copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
154,34,75,153,24,497,0.000913
36,40,75,153,27,30,0.000334
34,29,73,151,26,27,0.000314
35,29,72,150,27,28,0.000314
31,26,72,148,26,30,0.000307
35,27,72,149,27,30,0.000313
35,28,71,149,27,30,0.000313
34,28,71,149,27,31,0.000313
35,25,70,147,26,30,0.000307
31,25,72,147,27,30,0.000305
33,26,71,148,26,31,0.000309
33,26,72,147,27,30,0.000308
35,26,71,148,27,30,0.00031
31,25,71,148,26,30,0.000305
34,27,71,155,27,31,0.000318
35,25,71,148,27,30,0.000309
34,25,71,149,26,30,0.000309
34,26,72,149,26,30,0.000311
31,25,71,148,26,30,0.000305
35,25,71,148,26,31,0.00031
34,25,70,148,26,30,0.000307
34,25,70,149,27,27,0.000305
35,26,71,149,26,30,0.000311
31,25,70,148,27,30,0.000304
31,25,70,149,27,31,0.000306
35,25,71,148,26,31,0.00031
34,26,71,148,27,28,0.000307
31,25,72,148,26,32,0.000308
31,25,72,149,26,30,0.000307
32,25,71,148,27,30,0.000306
