copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
42,32,77,148,25,515,0.000814
30,28,71,145,23,23,0.000297
27,20,66,143,22,23,0.000279
27,24,64,141,19,23,0.000279
27,23,64,141,22,23,0.000278
27,20,64,139,22,24,0.000274
27,20,64,141,22,23,0.000275
28,24,64,138,23,23,0.000277
28,23,67,142,21,23,0.000283
27,20,63,142,23,23,0.000275
27,20,64,149,19,23,0.000283
27,20,64,140,23,23,0.000274
27,17,61,142,19,23,0.00027
27,21,64,141,23,23,0.000276
27,21,64,138,22,23,0.000273
28,20,64,139,23,22,0.000273
31,20,64,142,22,23,0.00028
27,20,64,136,19,23,0.00027
27,20,64,138,19,23,0.000272
27,20,64,139,24,23,0.000273
28,27,65,141,23,23,0.000284
28,20,77,140,19,23,0.000288
27,21,64,139,19,23,0.000274
27,20,64,142,22,23,0.000276
27,20,64,138,22,23,0.000272
27,20,64,140,23,23,0.000274
27,20,64,138,22,23,0.000272
27,20,63,142,22,23,0.000275
27,20,64,138,19,23,0.000272
28,20,64,141,19,23,0.000276
