copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
213,51,113,269,31,568,0.001214
195,51,114,280,32,154,0.000794
107,55,110,278,35,164,0.000714
103,51,106,554,32,126,0.00094
188,48,105,325,31,141,0.000807
83,69,103,269,44,165,0.000689
203,50,108,270,35,165,0.000796
194,48,103,266,30,138,0.000749
200,49,114,294,27,150,0.000807
87,47,101,266,31,183,0.000684
206,83,108,280,31,148,0.000825
203,49,107,280,32,148,0.000787
188,48,102,272,30,127,0.000737
203,46,112,284,30,134,0.000779
202,45,104,284,30,133,0.000768
90,46,105,281,31,189,0.000711
202,48,104,286,32,147,0.000787
207,80,119,281,32,144,0.000831
208,45,104,280,31,148,0.000785
200,45,103,279,32,145,0.000772
198,45,107,282,31,166,0.000798
177,45,100,299,31,141,0.000762
217,44,111,281,34,149,0.000802
199,50,103,278,32,144,0.000774
216,45,104,278,31,148,0.000791
205,45,109,279,33,144,0.000782
90,45,110,281,31,146,0.000672
200,42,122,283,32,163,0.00081
202,46,103,328,30,131,0.00081
245,48,106,282,31,148,0.000829
