copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
1287,78,2387,1258,61,344,0.005354
612,72,2451,1254,60,337,0.004726
604,70,2417,1253,61,339,0.004683
604,71,2403,1247,61,339,0.004664
617,70,2395,1246,60,337,0.004665
621,69,2496,1260,61,339,0.004785
606,73,2419,1258,61,338,0.004694
609,72,2472,1260,60,338,0.004751
625,74,2393,1249,58,337,0.004678
600,69,2481,1257,60,337,0.004744
619,67,2451,1262,61,337,0.004736
603,71,2430,1249,61,335,0.004688
604,71,2410,1252,60,336,0.004673
608,102,2444,1269,61,336,0.004759
629,72,2460,1260,61,340,0.004761
607,71,2421,1270,61,336,0.004705
670,72,2375,1248,60,338,0.004703
637,69,2506,1242,61,336,0.00479
603,69,2463,1251,60,349,0.004735
508,108,2415,1260,60,341,0.004632
618,75,2352,1273,62,343,0.004661
606,77,2356,1255,60,336,0.00463
615,75,2393,1273,60,338,0.004694
505,84,2382,1293,58,333,0.004597
640,74,2350,1260,69,336,0.00466
612,73,2412,1256,60,337,0.00469
510,73,2480,1282,60,336,0.004681
527,75,2658,1284,66,343,0.004887
618,94,2494,1248,55,329,0.004783
615,70,2501,1252,55,327,0.004765
